time,H2 + O2 + OH => H2O + HO2,H2O2 + OH => H2O + HO2,HO2 + NO => NO2 + OH,HO2 + NO3 => NO2 + O2 + OH,HO2 + O3 => 2 O2 + OH,HO2 + OH => H2O + O2,HO2NO2 + OH => H2O + NO2 + O2,HONO + OH => H2O + NO2,NO + NO3 => 2 NO2,NO + O3 => NO2 + O2,NO3 + NO2 => NO + O2 + NO2,NO2 + O => NO + O2,NO2 + O3 => NO3 + O2,NO3 + OH => HO2 + NO2,O + O3 => 2 O2,O3 + OH => HO2 + O2,CO + O2 + OH => CO2 + HO2,HNO3 + OH => H2O + NO3,2 HO2 => H2O2 + O2,2 HO2 => H2O2 + O2,HO2 + NO2 => HO2NO2,HO2NO2 => HO2 + NO2,HSO3 + O2 => HO2 + SO3,N2O5 => NO2 + NO3,2 NO + O2 => 2 NO2,NO + O => NO2,NO + OH => HONO,NO2 + NO3 => N2O5,NO2 + O => NO3,NO2 + OH => HNO3,O + SO2 => SO3,O + O2 => O3,O + O2 => O3,O1D => O,O1D => O,H2O + O1D => 2 OH,OH + SO2 => HSO3,H2O2 => 2 OH,HNO3 => NO2 + OH,HONO => NO + OH,NO2 => NO + O,NO3 => NO + O2,NO3 => NO2 + O,O3 => O + O2,O3 => O1D + O2,HNO3 => NA,H2O + N2O5 => 2 NA
1762.9125825165033,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
1814.7629525905181,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
1866.613322664533,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
1918.4636927385477,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
1970.3140628125625,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2022.1644328865773,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2074.014802960592,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2125.865173034607,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2177.7155431086217,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2229.5659131826365,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2281.4162832566512,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2333.266653330666,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2385.117023404681,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2436.9673934786956,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2488.817763552711,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2540.6681336267256,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2592.5185037007404,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2644.3688737747552,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2696.21924384877,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2748.069613922785,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2799.9199839967996,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2851.7703540708144,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2903.620724144829,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
2955.471094218844,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
3007.3214642928588,4034383.303170536,1020870501.733349,5141126457.368839,2408856304.0000005,1213177.6702519327,66885680206.756905,1952010114.3494353,3602513025.0269356,15679544829.362207,10392787.670281686,395079.7172555758,6224407683.299909,21192.870091053708,12044281520.000002,4793701.428833854,43679497.40276524,138299210.00627545,67662753.08266068,1.6142383283608266e+22,4.509925028024697e+21,527164169.21706945,0.1560134169976357,2165168.0083240727,0.06745772406201991,59.31249047623214,1385170795.8656344,5895311642.080496,996360316.5811155,1283794544.8418868,8763731353.424494,20992652.631790817,55438.76649142517,15511.756775353319,597147331.4206759,201962970.02197468,136808742.37913963,671065595.8454144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06,0.0004
